Date,Price,Open,High,Low,Vol.,Change_Percent
9/1/1993,17.43,17.05,17.57,15.47,564.72K,2.05
10/1/1993,15.8,17.25,17.48,15.8,432.40K,-9.35
11/1/1993,14.52,15.9,16.41,13.97,550.97K,-8.1
12/1/1993,13.2,14.44,14.62,13.2,468.68K,-9.09
1/1/1994,14.22,13.55,14.58,13.42,520.02K,7.73
2/1/1994,13.35,14.19,15.13,12.9,391.99K,-6.12
3/1/1994,13.25,13.43,14.15,12.95,476.30K,-0.75
4/1/1994,15.69,14.2,15.87,14.05,464.67K,18.42
5/1/1994,16.45,15.85,16.79,15.45,488.22K,4.84
6/1/1994,17.52,16.44,17.76,15.73,444.85K,6.5
7/1/1994,18.59,17.55,18.68,17.01,472.87K,6.11
8/1/1994,16.24,18.9,19.41,15.6,501.23K,-12.64
9/1/1994,17.15,16.4,17.2,15.35,411.27K,5.6
10/1/1994,16.92,17.1,17.32,15.62,459.43K,-1.34
11/1/1994,17.11,16.92,17.94,16.34,497.98K,1.12
12/1/1994,16.5,17.12,17.16,15.6,376.26K,-3.57
1/1/1995,16.8,16.48,17.08,16.05,521.02K,1.82
2/1/1995,16.87,16.84,17.57,16.58,413.75K,0.42
3/1/1995,17.5,16.92,17.6,16.36,452.34K,3.73
4/1/1995,19.06,17.42,19.17,17.28,508.70K,8.91
5/1/1995,17.7,19.25,19.38,17.31,429.69K,-7.14
6/1/1995,16.38,17.69,18.24,16.2,405.98K,-7.46
7/1/1995,16.01,16.4,16.4,15.41,383.95K,-2.26
8/1/1995,16.25,16.15,16.51,15.76,393.79K,1.5
9/1/1995,16.12,16.28,17.04,15.83,443.45K,-0.8
10/1/1995,16.33,16.16,16.42,15.58,420.09K,1.3
11/1/1995,17.04,16.37,17.19,16.21,415.92K,4.35
12/1/1995,18.33,17.07,18.53,17.06,357.82K,7.57
1/1/1996,16.52,18.55,19.31,15.93,505.04K,-9.87
2/1/1996,17.76,16.6,18.45,16.43,410.02K,7.51
3/1/1996,19.41,17.9,20.3,17.2,481.39K,9.29
4/1/1996,19.02,19.4,23.3,18.08,475.88K,-2.01
5/1/1996,17.8,18.85,19.68,16.75,472.46K,-6.41
6/1/1996,18.91,17.76,19.24,17.48,411.05K,6.24
7/1/1996,18.9,18.93,20.55,18.67,439.95K,-0.05
8/1/1996,20.78,19,21,18.79,417.85K,9.95
9/1/1996,23.21,21.48,24.39,21.45,429.22K,11.69
10/1/1996,22.67,22.9,25.06,22.62,430.43K,-2.33
11/1/1996,22.77,22.65,23.99,22.11,422.94K,0.44
12/1/1996,23.81,22.85,24.65,22,334.39K,4.57
1/1/1997,22.52,24.5,24.91,22,455.21K,-5.42
2/1/1997,18.85,22.45,22.77,18.8,412.70K,-16.3
3/1/1997,19.38,18.95,20.84,18.68,468.89K,2.81
4/1/1997,18.52,19.06,19.27,17.54,470.11K,-4.44
5/1/1997,19.4,18.42,20.6,17.87,386.67K,4.75
6/1/1997,18.51,19.31,19.62,17.32,444.80K,-4.59
7/1/1997,18.94,18.54,19.09,17.8,491.93K,2.32
8/1/1997,18.51,18.76,19.64,18.1,410.17K,-2.27
